PM 2.5,WD
135.79,80.8
118.46,121.32
149.37,101.98
187.34,138.48
160.54,74.9
88.55,34.29
65.92,54.99
78.12,37.4
133.31,144.07
160.29,122.91
106.08,95.29
172.29,273.62
106.99,230.35
53.15,132.52
60.26,111.79
87.52,89.44
68.73,86.3
113.04,78.13
148.22,180.33
117.25,262.9
93.25,255.13
68.96,212.64
69.83,197.01
112,90.22
103.18,123.81
86.57,201.01
37.25,203.97
29.33,229.54
58.12,225.16
78.48,81.96
47.88,79.17
89.93,180.05
65.75,235.9
71.21,201.09
63.67,232.04
39.62,165.33
61.42,123.06
57.08,62.54
57.92,76.88
58.46,79.46
96.65,142.95
91.23,152.65
86.96,137.16
80.35,99.9
55.96,167.52
56.67,227.52
36.95,163.41
42.93,67.92
19.37,161.75
20.23,88.47
19.25,68.32
28.75,53.39
30.8,82.96
33.42,88.83
27.96,69.96
26.79,65.77
36.05,101.83
66.39,115.15
67.04,86.77
30.04,106.28
27.33,77.4
32.56,77.65
49.8,139.46
62.08,131.75
31.94,58.25
54.52,141.12
56.51,251.78
None,190.06
42.17,96.53
26.62,152.43
26.96,178.25
None,None
6,305.96
None,None
56.04,125.73
50.48,225.6
58.71,268.8
26.17,259.66
41.96,231.99
25.71,214.34
43.38,191.45
53.29,236.98
47.5,236.21
60.58,214.74
33.12,229.22
33,210.61
24.38,136.7
56.71,110.52
57.25,164.89
31.71,184.14
48.29,232.88
53.25,242.62
43.12,223.52
43.96,236.36
44.17,193.64
69.21,181.13
56.02,228.01
43.5,67.22
72.65,76.54
82.64,153.38
102.75,92.57
100.26,119.18
59.09,83
46.94,96.64
115.05,179.71
83.07,168.54
66.92,74.14
56.56,87.39
47.6,160.54
43.48,183.76
38.33,225.31
23.47,215.57
25.01,273.12
22.98,199.22
43.96,127.5
50.3,156.05
52.24,142.14
65.44,159.5
47.02,221.63
35.75,235.43
34.86,168.45
42.55,128.3
55.14,150.45
69.52,219.77
57.27,115.35
60.61,226.24
50.83,209.84
71.27,132.92
56.16,170.43
36.95,220.47
27.51,224.6
42,279.05
51.43,330.49
35.32,322.5
47.08,315.32
44,315.8
30.42,312.16
37.58,311.09
39.42,308.7
68.59,307.85
36.71,308.7
67.04,309.73
47.46,308
45.38,304.84
52.48,306.82
68.58,301.77
65.6,306.31
46.15,303.67
30.25,None
48.68,301.89
22.31,294.08
25.37,298.64
43.65,302.77
23.09,306.39
12.73,301.04
None,None
32.28,268.84
43.65,194.06
40.74,117.83
36.94,117.66
47.55,151.48
39.25,116.05
28.09,216.22
19.17,286.53
26.08,155.7
32.09,173.63
32.23,225.68
42.18,124.9
38.58,122.56
51.04,182.87
43.71,287.28
19.21,292.5
33.67,199.72
18.29,230.36
51.5,173.98
32.94,174.35
18.29,259.64
23.15,272.92
24.47,195.09
43.71,110.98
22.92,102.16
24.83,132.91
51.92,242.51
34.58,186.15
37.33,168.01
50.16,171.32
15.62,246.3
16.43,94.32
27.68,90.68
None,None
None,None
35.8,157.71
37.24,215.61
27.71,173.12
36.75,115.83
30.04,90.42
17.42,86.83
None,None
18.16,179.11
22.45,189.44
23.31,268.08
20,271.18
41.58,174.83
45.29,102.9
27.29,113.84
13.01,189.23
21.26,210.56
28.08,212.64
44.38,148.21
46.67,176.6
46.96,193.31
36.77,225.38
43.82,234.78
33.25,273.8
49.7,309.87
50.27,308.13
55.17,217.29
62.62,266.81
69.79,191.79
67.92,231.9
70.67,288.28
64.62,287.47
46.27,310.46
42.46,279.3
55.5,232.68
72.58,255.46
64.33,277.88
47.5,152.26
28.52,125.25
46.39,198.44
62.62,270.82
70,250.63
35.01,288.73
64.42,286.73
72.92,313.7
52.59,311.15
58.13,284.66
83.58,276.38
80.08,276.52
81.94,278.16
69.12,315.74
94.54,282.34
117.46,290.07
136.19,288.46
118.48,281.55
112.76,285.02
101.92,296.7
148.49,296.2
160.01,179.11
164.23,231.95
159.52,237.9
145.08,250.39
143.04,260.92
100.15,306.53
120.78,283.68
101.46,262.92
151.05,227.59
183.4,229.59
230.33,270.98
219.08,265.87
232.12,245.94
237.01,260.17
175.33,304.53
212.54,260.21
263.05,240.56
241.15,277.28
306.96,314.96
303.46,287.32
217.63,263.62
160.91,251.58
407.01,249.39
304.15,261.01
308.49,258.95
363.6,264.31
407.71,248.14
554.29,237.37
598.8,217.37
243.89,197.93
204.05,222.84
248.61,250.1
503.82,230.51
290.11,167.05
92.68,173.42
81.04,285.07
124.5,314
159.56,273.43
157.77,325.36
119.68,312.21
166.28,272.95
242.53,229.15
293.6,196.62
395.77,135.67
122.34,230.04
85.45,308.68
118.89,301.45
162.1,255.8
224.13,261.77
296.33,249.7
251.78,272.29
234.29,246.95
342.3,187.91
320.38,150.88
282.34,228.49
289.54,275.75
239,186.6
213.26,281.09
156.16,234.12
197.94,188.75
298.46,194.35
121.92,255.6
105.77,187.92
141.17,245.41
117.82,318.31
149.84,320.79
157.96,320.23
164.88,306.42
216.4,308.11
231.75,253.53
375.5,216.53
353.08,234.2
337.79,200.88
229.6,236.43
253.85,263.8
284.23,224.31
107.18,256.57
141.72,327.9
175.21,273.33
285.54,242.85
518.24,149.76
440.29,151.86
194.07,138.65
113.35,155.6
97.53,95.41
134.71,184.38
120.5,197.4
161.29,180.07
149.67,313.32
125,333.89
126.01,324.26
177.55,284.29
195.33,258.71
250.14,229.03
549.8,233.38
218.45,239.73
264.24,126.95
268.43,171.04
239.74,305.19
156.46,310.15
181.7,296.07
314.76,165.05
186.3,170.6
None,None
164.2,187.32
225.79,235.32
187.54,291.65
274.96,199.24
201.5,286.05
186.72,298.65
274.1,216.71
335.5,170.04
285.42,208.25
220.74,154.13
182.02,69.47
71.95,194.35
95.8,267.91
145.49,301.92
199.19,283.62
220.88,233.04
232.04,209.48
170.65,222.17
253.77,223.41
180.18,185.56
167.84,239.59
194.11,239.51
177.01,241.39
158.46,235.96
150.96,217.45
175.35,260.28
130.78,287.92
184.88,302.93
152.1,263.59
139.35,262.91
177.99,238.87
164.9,270.99
119.71,280.8
98.5,217.99
70.8,214.42
79.9,293.99
75.8,326.28
95.7,305.13
151.48,219.81
111.58,298.14
99.93,297.41
158.28,151.92
118.62,150.81
156.42,150.7
63.05,240.78
130.41,218.53
101.28,152.13
137.11,212.22
98.42,314.23
107.42,306.88
99.76,329.67
114.39,239.26
115.19,242.07
100.83,279.66
108.91,307.24
140.46,158.33
86.55,130.6
83.77,151.31
76.5,254.77
49.87,326.39
67.74,315.53
100.04,244.16
100.65,252.95
74.22,144.01
103.08,284.4
50.56,327.44
38.22,329.82
72.72,279.57
75.51,234.39
74.5,274.49
98.48,151.03
133.3,119.99
77.15,199.43
62.09,310.96
68.66,230.3
65.41,290.43
79.71,284.94
129.16,224.07
