PM 2.5,WD,Direction
124.04,109.41,ESE
104.65,147.32,SSE
120.95,189.91,S
137.54,224.1,SW
123.63,231.42,SW
90.08,215.48,SW
70.25,97.13,E
84.29,93.44,E
101.13,107.92,ESE
83.25,126.26,SE
105.75,175.79,S
158.17,107.59,ESE
113.0,159.89,SSE
119.05,209.72,SSW
144.58,175.9,S
253.87,199.62,SSW
212.54,169.05,S
223.73,190.52,S
239.53,164.05,SSE
258.16,147.59,SSE
227.56,147.5,SSE
411.65,109.57,ESE
230.18,71.9,ENE
170.31,89.94,E
114.14,293.08,WNW
192.18,161.86,SSE
136.11,82.1,E
135.59,84.55,E
194.89,76.89,ENE
250.41,102.49,ESE
373.83,111.82,ESE
380.85,121.87,ESE
341.16,147.52,SSE
352.88,108.61,ESE
155.28,71.48,ENE
96.29,55.86,NE
116.08,80.88,E
143.07,166.65,SSE
210.98,161.56,SSE
196.89,131.91,SE
192.04,148.84,SSE
122.0,57.97,ENE
91.48,64.29,ENE
114.75,116.45,ESE
114.39,139.1,SE
66.32,132.41,SE
39.43,184.41,S
51.98,99.14,E
103.08,76.83,ENE
122.17,96.76,E
137.21,120.24,ESE
115.88,168.29,SSE
157.25,184.32,S
228.32,139.42,SE
221.35,140.52,SE
179.97,167.38,SSE
200.14,142.46,SE
184.14,160.3,SSE
232.53,168.45,SSE
316.14,220.24,SW
314.28,187.49,S
97.21,162.92,SSE
69.12,117.67,ESE
90.41,87.46,E
81.78,54.8,NE
91.0,101.47,ESE
155.17,73.38,ENE
303.08,216.49,SW
329.08,122.82,ESE
232.46,67.03,ENE
127.75,69.07,ENE
149.82,91.01,E
230.78,125.74,SE
130.25,74.88,ENE
175.72,84.82,E
224.17,101.86,ESE
218.05,105.9,ESE
244.27,116.07,ESE
316.14,155.83,SSE
233.6,211.14,SSW
289.17,132.8,SE
214.32,116.36,ESE
163.93,194.48,SSW
205.12,106.07,ESE
162.46,146.0,SE
157.67,176.9,S
149.69,203.45,SSW
118.12,122.01,ESE
79.75,69.22,ENE
119.83,62.58,ENE
124.33,88.17,E
183.88,157.54,SSE
225.83,235.05,SW
116.92,85.14,E
107.77,87.78,E
137.06,97.09,E
101.02,77.72,ENE
108.77,101.44,ESE
126.23,63.17,ENE
151.67,101.22,E
259.9,203.88,SSW
167.14,73.79,ENE
68.79,51.96,NE
80.07,59.32,ENE
142.0,110.66,ESE
189.92,160.16,SSE
248.16,193.47,SSW
119.73,183.44,S
78.88,98.53,E
79.38,69.14,ENE
87.41,66.24,ENE
112.92,92.46,E
101.91,73.85,ENE
111.38,116.42,ESE
178.08,155.19,SSE
142.21,124.31,SE
99.62,126.39,SE
112.62,119.74,ESE
135.79,80.8,E
118.46,121.32,ESE
149.37,101.98,ESE
187.34,138.48,SE
160.54,74.9,ENE
88.55,34.29,NE
65.92,54.99,NE
78.12,37.4,NE
133.31,144.07,SE
160.29,122.91,ESE
106.08,95.29,E
172.29,273.62,W
106.99,230.35,SW
53.15,132.52,SE
60.26,111.79,ESE
87.52,89.44,E
68.73,86.3,E
113.04,78.13,ENE
148.22,180.33,S
117.25,262.9,W
93.25,255.13,WSW
68.96,212.64,SSW
69.83,197.01,SSW
112.0,90.22,E
103.18,123.81,SE
86.57,201.01,SSW
37.25,203.97,SSW
29.33,229.54,SW
58.12,225.16,SW
78.48,81.96,E
47.88,79.17,E
89.93,180.05,S
65.75,235.9,SW
71.21,201.09,SSW
63.67,232.04,SW
39.62,165.33,SSE
61.42,123.06,ESE
57.08,62.54,ENE
57.92,76.88,ENE
58.46,79.46,E
96.65,142.95,SE
91.23,152.65,SSE
86.96,137.16,SE
80.35,99.9,E
55.96,167.52,SSE
56.67,227.52,SW
36.95,163.41,SSE
42.93,67.92,ENE
19.37,161.75,SSE
20.23,88.47,E
19.25,68.32,ENE
28.75,53.39,NE
30.8,82.96,E
33.42,88.83,E
27.96,69.96,ENE
26.79,65.77,ENE
36.05,101.83,ESE
66.39,115.15,ESE
67.04,86.77,E
30.04,106.28,ESE
27.33,77.4,ENE
32.56,77.65,ENE
49.8,139.46,SE
62.08,131.75,SE
31.94,58.25,ENE
54.52,141.12,SE
56.51,251.78,WSW
42.17,96.53,E
26.62,152.43,SSE
26.96,178.25,S
6.0,305.96,NW
56.04,125.73,SE
50.48,225.6,SW
58.71,268.8,W
26.17,259.66,W
41.96,231.99,SW
25.71,214.34,SW
43.38,191.45,SSW
53.29,236.98,WSW
47.5,236.21,SW
60.58,214.74,SW
33.12,229.22,SW
33.0,210.61,SSW
24.38,136.7,SE
56.71,110.52,ESE
57.25,164.89,SSE
31.71,184.14,S
48.29,232.88,SW
53.25,242.62,WSW
43.12,223.52,SW
43.96,236.36,WSW
44.17,193.64,SSW
69.21,181.13,S
56.02,228.01,SW
43.5,67.22,ENE
72.65,76.54,ENE
82.64,153.38,SSE
102.75,92.57,E
100.26,119.18,ESE
59.09,83.0,E
46.94,96.64,E
115.05,179.71,S
83.07,168.54,SSE
66.92,74.14,ENE
56.56,87.39,E
47.6,160.54,SSE
43.48,183.76,S
38.33,225.31,SW
23.47,215.57,SW
25.01,273.12,W
22.98,199.22,SSW
43.96,127.5,SE
50.3,156.05,SSE
52.24,142.14,SE
65.44,159.5,SSE
47.02,221.63,SW
35.75,235.43,SW
34.86,168.45,SSE
42.55,128.3,SE
55.14,150.45,SSE
69.52,219.77,SW
57.27,115.35,ESE
60.61,226.24,SW
50.83,209.84,SSW
71.27,132.92,SE
56.16,170.43,S
36.95,220.47,SW
27.51,224.6,SW
42.0,279.05,W
51.43,330.49,NNW
35.32,322.5,NW
47.08,315.32,NW
44.0,315.8,NW
30.42,312.16,NW
37.58,311.09,NW
39.42,308.7,NW
68.59,307.85,NW
36.71,308.7,NW
67.04,309.73,NW
47.46,308.0,NW
45.38,304.84,NW
52.48,306.82,NW
68.58,301.77,WNW
65.6,306.31,NW
46.15,303.67,WNW
48.68,301.89,WNW
22.31,294.08,WNW
25.37,298.64,WNW
43.65,302.77,WNW
23.09,306.39,NW
12.73,301.04,WNW
32.28,268.84,W
43.65,194.06,SSW
40.74,117.83,ESE
36.94,117.66,ESE
47.55,151.48,SSE
39.25,116.05,ESE
28.09,216.22,SW
19.17,286.53,WNW
26.08,155.7,SSE
32.09,173.63,S
32.23,225.68,SW
42.18,124.9,SE
38.58,122.56,ESE
51.04,182.87,S
43.71,287.28,WNW
19.21,292.5,WNW
33.67,199.72,SSW
18.29,230.36,SW
51.5,173.98,S
32.94,174.35,S
18.29,259.64,W
23.15,272.92,W
24.47,195.09,SSW
43.71,110.98,ESE
22.92,102.16,ESE
24.83,132.91,SE
51.92,242.51,WSW
34.58,186.15,S
37.33,168.01,SSE
50.16,171.32,S
15.62,246.3,WSW
16.43,94.32,E
27.68,90.68,E
35.8,157.71,SSE
37.24,215.61,SW
27.71,173.12,S
36.75,115.83,ESE
30.04,90.42,E
17.42,86.83,E
18.16,179.11,S
22.45,189.44,S
23.31,268.08,W
20.0,271.18,W
41.58,174.83,S
45.29,102.9,ESE
27.29,113.84,ESE
13.01,189.23,S
21.26,210.56,SSW
28.08,212.64,SSW
44.38,148.21,SSE
46.67,176.6,S
46.96,193.31,SSW
36.77,225.38,SW
43.82,234.78,SW
33.25,273.8,W
49.7,309.87,NW
50.27,308.13,NW
55.17,217.29,SW
62.62,266.81,W
69.79,191.79,SSW
67.92,231.9,SW
70.67,288.28,WNW
64.62,287.47,WNW
46.27,310.46,NW
42.46,279.3,W
55.5,232.68,SW
72.58,255.46,WSW
64.33,277.88,W
47.5,152.26,SSE
28.52,125.25,SE
46.39,198.44,SSW
62.62,270.82,W
70.0,250.63,WSW
35.01,288.73,WNW
64.42,286.73,WNW
72.92,313.7,NW
52.59,311.15,NW
58.13,284.66,WNW
83.58,276.38,W
80.08,276.52,W
81.94,278.16,W
69.12,315.74,NW
94.54,282.34,WNW
117.46,290.07,WNW
136.19,288.46,WNW
118.48,281.55,WNW
112.76,285.02,WNW
101.92,296.7,WNW
148.49,296.2,WNW
160.01,179.11,S
164.23,231.95,SW
159.52,237.9,WSW
145.08,250.39,WSW
143.04,260.92,W
100.15,306.53,NW
120.78,283.68,WNW
101.46,262.92,W
151.05,227.59,SW
183.4,229.59,SW
230.33,270.98,W
219.08,265.87,W
232.12,245.94,WSW
237.01,260.17,W
175.33,304.53,NW
212.54,260.21,W
263.05,240.56,WSW
241.15,277.28,W
306.96,314.96,NW
303.46,287.32,WNW
217.63,263.62,W
160.91,251.58,WSW
407.01,249.39,WSW
304.15,261.01,W
308.49,258.95,W
363.6,264.31,W
407.71,248.14,WSW
554.29,237.37,WSW
598.8,217.37,SW
243.89,197.93,SSW
204.05,222.84,SW
248.61,250.1,WSW
503.82,230.51,SW
290.11,167.05,SSE
92.68,173.42,S
81.04,285.07,WNW
124.5,314.0,NW
