PM 2.5,WD,Direction
61.04,106.66,ESE
49.89,180.99,S
78.74,114.67,ESE
75.45,114.95,ESE
51.4,113.5,ESE
79.89,168.72,SSE
75.8,132.0,SE
72.1,139.47,SE
43.71,109.21,ESE
52.72,119.89,ESE
26.18,111.14,ESE
28.55,140.49,SE
29.47,142.11,SE
41.89,171.15,S
48.39,151.58,SSE
61.07,116.23,ESE
57.12,117.7,ESE
56.78,192.29,SSW
47.87,172.3,S
56.67,174.67,S
78.75,156.72,SSE
69.26,185.65,S
56.85,232.82,SW
83.25,168.34,SSE
87.75,174.92,S
65.93,202.91,SSW
59.46,185.65,S
66.55,154.03,SSE
44.51,121.98,ESE
89.59,163.9,SSE
94.02,245.01,WSW
69.09,264.56,W
55.19,235.73,SW
47.0,219.35,SW
52.46,262.7,W
40.35,195.96,SSW
51.09,202.03,SSW
45.42,224.67,SW
37.21,219.84,SW
36.0,225.01,SW
25.89,214.01,SW
25.71,194.7,SSW
31.08,193.97,SSW
51.24,232.96,SW
43.85,135.96,SE
43.13,100.53,E
54.71,199.69,SSW
67.95,204.16,SSW
45.9,285.07,WNW
31.35,261.2,W
28.18,264.8,W
31.71,258.32,WSW
35.1,207.43,SSW
25.09,107.1,ESE
19.63,79.44,E
22.18,89.89,E
21.6,122.88,ESE
30.22,139.65,SE
33.26,149.21,SSE
53.12,141.98,SE
53.67,270.89,W
52.63,219.56,SW
62.58,210.31,SSW
58.92,209.51,SSW
51.51,210.69,SSW
53.01,236.34,WSW
36.74,258.71,WSW
14.9,250.58,WSW
20.41,270.2,W
31.56,231.39,SW
32.48,140.7,SE
15.86,234.4,SW
15.27,276.07,W
14.13,110.18,ESE
20.12,76.03,ENE
14.41,142.33,SE
28.71,157.97,SSE
47.18,181.66,S
41.22,231.43,SW
31.07,229.31,SW
20.83,147.6,SSE
33.14,123.46,ESE
26.4,143.75,SE
24.52,147.48,SSE
31.52,150.52,SSE
37.65,119.76,ESE
49.43,108.48,ESE
38.04,134.16,SE
42.96,155.63,SSE
47.0,149.66,SSE
28.94,137.03,SE
21.12,141.68,SE
22.17,166.93,SSE
34.56,176.27,S
42.64,184.24,S
66.64,215.55,SW
70.22,166.59,SSE
65.14,79.09,E
34.69,257.7,WSW
26.66,279.09,W
22.88,251.95,WSW
20.56,245.01,WSW
11.82,224.98,SW
9.33,196.51,SSW
35.43,141.76,SE
58.3,171.96,S
75.67,213.72,SSW
44.06,209.48,SSW
43.51,205.39,SSW
20.64,221.24,SW
30.12,247.72,WSW
24.52,171.42,S
21.51,136.3,SE
43.42,207.23,SSW
36.68,148.68,SSE
58.03,192.92,SSW
65.23,199.67,SSW
85.09,144.87,SE
77.97,205.55,SSW
67.78,205.19,SSW
39.88,164.89,SSE
61.83,170.56,S
92.45,152.16,SSE
15.08,239.85,WSW
17.79,254.73,WSW
18.82,272.05,W
9.29,237.59,WSW
16.19,254.34,WSW
43.04,192.21,SSW
69.11,167.65,SSE
50.58,149.18,SSE
75.1,163.84,SSE
87.41,174.52,S
117.2,156.12,SSE
119.96,177.4,S
112.83,156.15,SSE
120.63,205.29,SSW
153.14,167.18,SSE
135.64,161.03,SSE
130.41,132.67,SE
138.24,176.73,S
183.46,84.29,E
145.06,90.07,E
150.72,114.08,ESE
209.32,236.98,WSW
259.14,250.6,WSW
265.37,246.72,WSW
245.98,197.25,SSW
333.46,161.94,SSE
353.21,189.15,S
291.61,155.3,SSE
530.14,75.19,ENE
396.09,195.04,SSW
242.97,179.73,S
202.98,169.08,S
255.51,192.81,SSW
288.89,179.39,S
138.28,172.39,S
217.79,61.9,ENE
221.52,294.86,WNW
210.5,258.23,WSW
177.65,293.82,WNW
175.07,207.76,SSW
111.89,103.5,ESE
135.93,132.96,SE
152.07,200.09,SSW
183.71,177.14,S
173.35,139.77,SE
191.95,106.45,ESE
151.46,307.76,NW
119.96,296.29,WNW
114.33,314.03,NW
111.54,306.66,NW
211.26,119.78,ESE
193.57,197.21,SSW
196.3,208.74,SSW
208.18,173.9,S
254.37,160.59,SSE
254.21,135.7,SE
241.42,173.17,S
252.76,115.3,ESE
250.78,63.49,ENE
235.5,221.98,SW
198.26,145.55,SE
181.52,188.38,S
134.66,310.46,NW
149.05,132.39,SE
180.84,21.85,NNE
223.49,115.95,ESE
147.46,196.17,SSW
102.92,127.78,SE
67.9,283.06,WNW
90.24,204.83,SSW
94.54,184.6,S
128.75,125.26,SE
190.25,89.71,E
319.71,127.15,SE
272.28,145.18,SE
198.49,40.68,NE
167.37,42.63,NE
225.38,29.34,NNE
198.15,45.89,NE
169.41,190.24,S
174.4,155.19,SSE
209.55,121.88,ESE
177.38,280.1,W
161.88,288.86,WNW
242.24,167.24,SSE
269.55,233.1,SW
161.8,297.54,WNW
147.0,173.97,S
261.0,48.44,NE
240.81,29.77,NNE
168.29,63.76,ENE
197.66,55.73,NE
236.7,53.43,NE
203.79,98.42,E
267.57,91.81,E
296.23,34.56,NE
223.12,128.85,SE
215.36,126.02,SE
256.05,155.4,SSE
248.9,204.18,SSW
161.9,235.19,SW
102.59,216.67,SW
161.37,56.62,ENE
162.53,63.59,ENE
206.65,138.12,SE
202.5,180.65,S
96.52,66.81,ENE
205.71,78.24,ENE
236.97,134.26,SE
153.07,57.86,ENE
101.84,155.9,SSE
122.39,198.08,SSW
149.18,161.88,SSE
95.11,201.03,SSW
124.32,143.4,SE
229.24,108.32,ESE
84.39,176.95,S
77.25,324.03,NW
83.3,281.73,WNW
89.71,302.89,WNW
106.18,208.19,SSW
131.44,139.32,SE
97.77,219.07,SW
189.18,129.02,SE
120.07,202.79,SSW
68.43,156.41,SSE
97.38,156.75,SSE
119.54,191.28,SSW
154.69,147.61,SSE
49.21,262.79,W
43.47,320.42,NW
57.89,229.29,SW
86.67,269.99,W
175.54,130.37,SE
220.14,77.91,ENE
204.76,38.7,NE
188.89,97.47,E
170.36,162.36,SSE
139.5,164.13,SSE
136.23,33.46,NNE
76.3,226.79,SW
78.67,158.22,SSE
116.49,42.6,NE
149.61,92.91,E
129.78,68.94,ENE
95.97,74.81,ENE
66.54,179.0,S
81.0,155.23,SSE
45.02,222.99,SW
50.2,189.06,S
57.1,216.14,SW
65.46,210.43,SSW
97.0,95.07,E
126.26,86.94,E
79.08,124.96,SE
51.44,121.91,ESE
102.19,82.41,E
113.64,45.04,NE
104.64,218.66,SW
101.75,169.16,S
125.98,158.12,SSE
102.11,164.88,SSE
83.68,103.55,ESE
100.69,140.71,SE
82.24,158.28,SSE
46.84,52.9,NE
81.04,123.17,ESE
79.29,134.56,SE
101.01,195.33,SSW
43.78,132.54,SE
63.84,95.76,E
57.93,192.47,SSW
74.94,129.11,SE
102.84,161.27,SSE
73.81,144.97,SE
33.82,150.36,SSE
64.48,144.6,SE
76.67,159.33,SSE
66.14,95.1,E
42.45,152.86,SSE
46.07,189.53,S
31.29,104.43,ESE
30.31,269.22,W
60.06,242.35,WSW
87.99,218.95,SW
100.62,209.33,SSW
123.05,214.18,SW
74.3,274.91,W
88.41,247.18,WSW
110.22,269.0,W
129.91,217.62,SW
100.24,229.3,SW
77.13,261.78,W
75.28,212.78,SSW
53.97,124.46,SE
35.96,219.8,SW
39.78,160.77,SSE
39.46,117.99,ESE
25.24,160.44,SSE
70.55,168.19,SSE
55.58,160.5,SSE
100.7,182.51,S
91.58,190.98,S
82.17,211.71,SSW
69.19,240.29,WSW
53.53,128.0,SE
55.05,95.05,E
52.43,81.44,E
75.22,121.31,ESE
93.79,140.16,SE
110.71,249.65,WSW
114.69,277.55,W
85.8,161.48,SSE
68.84,192.02,SSW
107.82,186.78,S
93.61,184.26,S
161.33,209.95,SSW
110.81,159.72,SSE
123.63,155.22,SSE
110.51,133.45,SE
34.23,213.72,SSW
122.24,220.3,SW
79.18,191.97,SSW
39.07,122.5,ESE
60.43,224.71,SW
68.32,247.94,WSW
90.84,159.97,SSE
55.94,272.71,W
42.61,251.14,WSW
27.12,164.97,SSE
25.11,142.62,SE
23.1,172.82,S
30.86,182.82,S
99.86,183.33,S
39.13,125.09,SE
40.21,197.87,SSW
34.7,250.42,WSW
